Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Collection,Status
datejust-12,Datejust - 12,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-12,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2367.jpg,Datejust - 12 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 12 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 12 - Image 3,,
datejust-13,Datejust - 13,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-13,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 13 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 13 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 13 - Image 3,,
datejust-14,Datejust - 14,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-14,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 14 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 14 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 14 - Image 3,,
datejust-15,Datejust - 15,<p>DATEJUST</p>,Gharyaal,Accessories > Jewelry > Watches,Watches,"luxury,luxury,automatic,super-clone,datejust",TRUE,DATEJUST-15,25000,35000,150,g,TRUE,TRUE,https://gharyaalbytaimour.com/data/images/IMG_2286.jpg,Datejust - 15 - Image 1,,active
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3754.jpg,Datejust - 15 - Image 2,,
,,,,,,,,,,,,,,,https://gharyaalbytaimour.com/data/images/IMG_3755.jpg,Datejust - 15 - Image 3,,
